venue,replicate,backend,run_dir,primary_valid,analysis_admitted,ordinary_censored_substitution,global_context_valid,status,censored,pipeline_exit_code,validation_exit_code,t0_epoch,endpoint_latest_complete_epoch,monitor_end_epoch,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,observer_rpc_count,observer_rpc_processing_s,error,global_context_error
phoenix,1,native,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,True,True,False,True,complete,False,0,0,1786168962.5723994,1786172670.486,1786172720.8107314,1.029976000189781,5126,728.771119,33465,2989.824196,,
phoenix,1,jobarray,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,True,True,False,True,complete,False,0,0,1786167724.5233688,1786168881.931,1786168960.8415523,0.3215021197663413,387,45.819144,25729,2491.982613,,
phoenix,1,hyperqueue,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,True,True,False,True,complete,False,0,0,1786178791.1688168,1786179945.261,1786180022.5062926,0.3205811619758606,415,40.783021,4862,128.013046,,
phoenix,1,flux,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,True,True,False,True,complete,False,0,0,1786173781.656794,1786176110.621,1786176158.8123724,0.6469345016611947,127,2.13248,9044,140.132327,,
phoenix,2,native,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep2/native,True,True,False,True,complete,False,0,0,1786421966.7628386,1786425671.139,1786425724.213068,1.0289933781491385,5111,585.447982,33342,2438.658078,,
phoenix,2,jobarray,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep2/jobarray,True,True,False,True,complete,False,0,0,1786425725.7631943,1786427214.086,1786427317.0807514,0.4134230015675227,440,48.48345,28071,2293.390782,,
phoenix,2,hyperqueue,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep2/hyperqueue,True,True,False,True,complete,False,0,0,1786427318.5169764,1786428471.158,1786428549.6188288,0.3201780621210734,419,38.734687,4903,78.905506,,
phoenix,2,flux,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep2/flux,True,True,False,True,complete,False,0,0,1786428551.116901,1786430860.779,1786430922.7400634,0.6415728053119447,125,9.049266,9716,234.601977,,
phoenix,3,native,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep3/native,True,True,False,True,complete,False,0,0,1786482240.2215018,1786485997.458,1786486054.1603303,1.0436768050326242,5114,717.848771,34272,3148.110716,,
phoenix,3,jobarray,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep3/jobarray,True,True,False,True,complete,False,0,0,1786480405.8438318,1786482165.877,1786482238.2565787,0.4888981023099687,545,75.978268,40158,4209.962358,,
phoenix,3,hyperqueue,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep3/hyperqueue,True,True,False,True,complete,False,0,0,1786476822.4907298,1786480327.044,1786480400.1343408,0.973487019472652,199,29.716356,30470,1059.880908,,
phoenix,3,flux,/data/rcadmins/tianche5/wms-paper-chain/bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep3/flux,True,True,False,True,complete,False,0,0,1786474268.9268248,1786476733.812,1786476820.754505,0.6846903264522552,131,9.428434,10571,119.016881,,
