task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
2	2e/373b9e	20804810	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Gallus_gallus)	COMPLETED	0	1786167741904	1786167750594	1786167760379	18475	9508	95.4	480817152	480817152	559144960	559144960	1052309411	306868729	1
1	2e/2af4c2	20804809	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786167741784	1786167750543	1786167770375	28591	18302	95.8	774262784	774262784	1006030848	1006030848	2004879524	583409350	1
3	39/b9d700	20804811	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Gallus_gallus)	COMPLETED	0	1786167760656	1786167770379	1786167770406	9750	52	15.2	3239936	3239936	4468736	4468736	2116783	6946	1
4	60/a99bb8	20804812	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786167770575	1786167780376	1786167780378	9803	53	14.9	3239936	3239936	4468736	4468736	941853	3636	1
5	81/bc9488	20804813	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Gallus_gallus (query))	COMPLETED	0	1786167770645	1786167780389	1786167780418	9773	108	24.6	3309568	3309568	4468736	4468736	666298	6930	1
6	5d/0b0efe	20804814	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Gallus_gallus)	COMPLETED	0	1786167772708	1786167780444	1786167780456	7748	145	24.0	3305472	3305472	4468736	4468736	793201	2406	1
8	dc/d4e522	20804815	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786167780590	1786167790375	1786167790377	9787	124	21.1	3305472	3305472	4468736	4468736	793300	2418	1
7	e9/0d4011	20804816	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786167780635	1786167790382	1786167790385	9750	113	23.6	3309568	3309568	4468736	4468736	662995	6850	1
23	88/a443f1	20804817_14	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802569	1786167810452	1786167810457	7888	2172	60.9	269971456	269971456	1562714112	1562714112	30443459	1333	1
76	c8/001b49	20804817_68	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802570	1786167811621	1786167811655	9085	2359	59.9	270065664	270065664	1562865664	1562865664	30449565	1331	1
447	64/be8186	20804817_438	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:200000000-225000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802573	1786167814764	1786167821800	19227	2128	61.7	270331904	270331904	1562865664	1562865664	30441355	1330	1
500	68/c932a5	20804817_491	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:225000000-250000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802573	1786167815167	1786167821870	19297	2157	61.3	270602240	270602240	1562865664	1562865664	30449518	1329	1
606	a9/4aaf67	20805317_97	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:275000000-300000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816030	1786167822106	1786167831179	15149	1886	69.2	28372992	28372992	43859968	43859968	30449516	1329	1
659	fb/16773b	20805317_151	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:300000000-311452600 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816031	1786167831326	1786167831327	15296	1507	53.0	27353088	27353088	40898560	40898560	27066241	1329	1
712	d8/c020ba	20805317_203	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816031	1786167831455	1786167841119	25088	2035	66.3	269647872	269647872	1493786624	1493786624	27598687	1329	1
924	a4/057513	20805317_415	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:100000000-125000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816032	1786167841300	1786167841304	25272	2294	58.9	266551296	266551296	1493938176	1493938176	27606890	1329	1
53	97/26d952	20804817_44	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167802570	1786167811272	1786167850431	47861	44318	82.2	287776768	298881024	1497481216	1508741120	30264876	129347	1
129	4e/11e107	20804817_120	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:50000000-75000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802570	1786167812084	1786167850583	48013	2977	66.7	245690368	245690368	1405669376	1405669376	30449559	1330	1
288	85/d8a498	20804817_279	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:125000000-150000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802572	1786167813265	1786167850721	48149	2268	64.9	271683584	271683584	1562865664	1562865664	30449542	1329	1
341	65/ba71e0	20804817_332	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:150000000-175000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802572	1786167813442	1786167850768	48196	2398	59.7	270872576	270872576	1562865664	1562865664	30449534	1329	1
394	cf/5a5ab6	20804817_384	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:175000000-200000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802573	1786167814202	1786167850972	48399	2245	64.8	271142912	271142912	1562865664	1562865664	30449533	1330	1
689	f1/a61e17	20805317_180	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:300000000-311452600 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167816031	1786167831412	1786167851447	35416	18703	77.8	203476992	214605824	1429872640	1441132544	26810068	39610	1
1083	b1/913727	20805615_73	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:175000000-200000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167827256	1786167841450	1786167852170	24914	2166	65.3	271147008	271147008	1493938176	1493938176	27606878	1329	1
1189	53/79434d	20805615_180	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:225000000-245381302 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167827256	1786167852594	1786167852597	25341	2159	57.5	242761728	242761728	1470840832	1470840832	26451800	1329	1
159	3a/a3bb4f	20804817_150	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:50000000-75000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167802571	1786167812246	1786167860476	57905	46423	83.1	288739328	299859968	1497608192	1508876288	30266208	121510	1
182	d4/6d5744	20804817_173	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:75000000-100000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802571	1786167812419	1786167860495	57924	2319	61.4	269791232	269791232	1562865664	1562865664	30449543	1330	1
212	98/5caf7d	20804817_203	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:75000000-100000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167802571	1786167812545	1786167860536	57965	48076	83.8	288825344	299958272	1497612288	1508876288	30279410	136050	1
235	6b/c09dbe	20804817_226	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:100000000-125000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167802571	1786167812658	1786167860574	58003	2261	60.8	268439552	268439552	1562865664	1562865664	30449560	1331	1
1295	6d/6f8aa6	20805615_286	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167827257	1786167852821	1786167861278	34021	2103	61.4	265203712	265203712	1447677952	1447677952	25739093	1329	1
1401	cf/7dd185	20805615_392	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:75000000-100000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167827258	1786167861346	1786167861350	34092	2217	60.9	266285056	266285056	1447677952	1447677952	25739094	1329	1
106	ed/ed614a	20804817_97	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167802570	1786167811909	1786167870427	67857	61237	83.5	299044864	299696128	1508683776	1508876288	30239408	92819	1
477	f9/d5ee48	20804817_469	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:200000000-225000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786167802573	1786167815068	1786167870596	68023	45825	83.3	288301056	299405312	1497632768	1508892672	30240072	103215	1
553	6a/2dfd48	20805317_44	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:250000000-275000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816030	1786167860812	1786167870625	54595	2264	59.8	269524992	269524992	1562865664	1562865664	30449520	1329	1
677	b4/1b7786	20805317_168	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:300000000-311452600 vs Gallus_gallus.2bit:CM028530_1:24990000-29567511)	COMPLETED	0	1786167816031	1786167831389	1786167870775	54744	35251	81.1	196968448	197279744	1375293440	1375485952	22561299	110893	1
765	4a/d9f924	20805317_255	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816031	1786167860926	1786167870810	54779	2149	65.5	270880768	270880768	1493938176	1493938176	27606916	1330	1
818	79/d23a81	20805317_309	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:50000000-75000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816032	1786167860960	1786167870838	54806	7727	18.1	260292608	260292608	1336741888	1336741888	27606894	1330	1
977	68/d6f565	20805317_468	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105056_1:125000000-150000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167816033	1786167871069	1786167871070	55037	2238	60.5	267632640	267632640	1493938176	1493938176	27606883	1329	1
1666	72/51321f	20805814_157	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786167835612	1786167878585	1786167878663	43051	593	52.2	14794752	14794752	22466560	22466560	19734361	1328	1
1671	57/3ef8a0	20805814_162	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028525_1:99960000-110406817)	COMPLETED	0	1786167835612	1786167878991	1786167879056	43444	11098	77.4	134656000	145162240	1287827456	1298464768	20411914	49345	1
1675	b7/357cb8	20805814_166	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028526_1:74970000-90563926)	COMPLETED	0	1786167835612	1786167879241	1786167879266	43654	15828	78.5	155521024	155521024	1282789376	1282895872	20792342	15878	1
1678	dc/8835f8	20805814_169	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028527_1:49980000-59353219)	COMPLETED	0	1786167835612	1786167879361	1786167879400	43788	10138	77.3	130715648	140148736	1234341888	1243906048	17696468	26057	1
1680	55/755763	20805814_171	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028528_1:24990000-36041924)	COMPLETED	0	1786167835612	1786167879450	1786167879489	43877	12042	78.3	143310848	143441920	1220984832	1221173248	17028555	30525	1
1682	84/a859e8	20805814_174	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028529_1:24990000-36265832)	COMPLETED	0	1786167835612	1786167879580	1786167879626	44014	12568	77.0	132345856	143622144	1210241024	1221648384	17108611	37813	1
1684	e2/99bdf6	20805814_176	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105057_1:200000000-200991307 vs Gallus_gallus.2bit:CM028530_1:24990000-29567511)	COMPLETED	0	1786167835612	1786167879691	1786167879743	44131	5501	77.2	123342848	127979520	1203212288	1207980032	15151176	19637	1
