epoch	event	detail
1786428550.602421171	fairshare_reset_started	
1786428550.834812857	fairshare_reset_verified	
1786428550.898724670	benchmark_user_row_primed	
1786428551.101474628	boundary_before_captured	
1786428551.112177376	periodic_series_seeded	1786428551.045686011
1786428551.182463928	t0_and_submit	1786428551.116900983
1786428551.185717793	sbatch_returned	20852335
1786430892.236579555	handoff_received	
1786430892.268076013	batch_handoff_finished	0
1786430892.316669764	drain_wait_finished	0
1786430892.329561962	pipeline_artifacts_ready	
1786430892.509021237	validation_finished	0
1786430922.726644211	boundary_after_captured	
1786430922.736697815	periodic_series_terminated	1786430922.679084838
1786430923.269270417	collection_complete	
