task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
1	9b/88b545	ƒ5JW88is	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Gallus_gallus)	COMPLETED	0	1786428566712	1786428570641	1786428580642	13930	9247	93.6	475680768	475680768	554291200	554291200	1052309379	306868728	1
2	d8/4d81b4	ƒ5RGzrQF	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786428566968	1786428570860	1786428585641	18673	17471	94.4	756961280	756961280	988651520	988651520	2004879464	583409348	1
3	09/db593c	ƒBf3Tbpb	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Gallus_gallus)	COMPLETED	0	1786428581123	1786428585643	1786428585645	4522	99	8.7	5365760	5365760	12410880	12419072	2114546	6942	1
4	cb/5f8e01	ƒDmFWQ9D	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786428585906	1786428590640	1786428590643	4737	68	23.5	3317760	3317760	4468736	4468736	939622	3633	1
6	0a/cd18aa	ƒDsr1CrB	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Gallus_gallus (query))	COMPLETED	0	1786428586162	1786428590645	1786428590647	4485	123	28.7	3387392	3387392	4468736	4468736	664068	6924	1
5	23/722ba3	ƒDzK659R	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Gallus_gallus)	COMPLETED	0	1786428586414	1786428590648	1786428590650	4236	147	18.5	3383296	3383296	4468736	4468736	791002	2401	1
7	0a/2153d2	ƒFy5iUTh	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786428590904	1786428595640	1786428595643	4739	121	21.6	3387392	3387392	4468736	4468736	660771	6844	1
8	9d/679558	ƒG5XKMUb	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786428591156	1786428595644	1786428595646	4490	112	15.5	3383296	3383296	4468736	4468736	791106	2413	1
23	67/cf1025	ƒKx9vXzw	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786428599950	1786428600661	1786428605650	5700	1174	88.4	14647296	14647296	22319104	22319104	30441278	1329	1
76	0a/39c194	ƒRy69VxB	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786428613595	1786428615699	1786428615702	2107	1608	78.3	271413248	271413248	1562865664	1562865664	30449496	1329	1
129	3e/0f6b17	ƒXn7WEaj	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:50000000-75000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786428626782	1786428630711	1786428630713	3931	1659	78.9	271142912	271142912	1562865664	1562865664	30449499	1329	1
53	06/0eda5d	ƒPRQ13fm	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786428607817	1786428610674	1786428645675	37858	35248	94.9	287780864	298885120	1497485312	1508745216	30264810	129346	1
