epoch	event	detail
1786427318.052888413	fairshare_reset_started	
1786427318.256676726	fairshare_reset_verified	
1786427318.312300967	benchmark_user_row_primed	
1786427318.501413290	boundary_before_captured	
1786427318.512730630	periodic_series_seeded	1786427318.447244726
1786427318.582530094	t0_and_submit	1786427318.516976248
1786427318.586302985	sbatch_returned	20852227
1786428519.113178303	handoff_received	
1786428519.139547496	batch_handoff_finished	0
1786428519.192105512	drain_wait_finished	0
1786428519.201036708	pipeline_artifacts_ready	
1786428519.393256464	validation_finished	0
1786428549.603214254	boundary_after_captured	
1786428549.614846491	periodic_series_terminated	1786428549.553638593
1786428550.119202544	collection_complete	
