epoch	event	detail
1786500001.022729670	fairshare_reset_started	
1786500002.452955275	fairshare_reset_verified	
1786500002.516630161	benchmark_user_row_primed	
1786500002.757577852	boundary_before_captured	
1786500002.770322577	periodic_series_seeded	1786500002.697319825
1786500004.832957438	t0_and_submit	1786500002.775743011
1786500004.837316822	sbatch_returned	20874244
1786503186.520848661	handoff_received	
1786503186.551684503	batch_handoff_finished	0
1786503187.956106458	drain_wait_finished	0
1786503187.970156918	pipeline_artifacts_ready	
1786503188.248925575	validation_finished	0
1786503218.487053279	boundary_after_captured	
1786503218.499753819	periodic_series_terminated	1786503218.433973981
1786503219.365269057	collection_complete	
