task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
2	56/2dfb1b	20882159	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Elgaria_multicarinata_webbii)	COMPLETED	0	1786507840019	1786507847378	1786507867377	27358	19097	86.5	736284672	736284672	790855680	790855680	1812989267	521617002	1
1	31/ebc102	20882160	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786507840255	1786507847534	1786507867452	27197	18436	96.4	752365568	752365568	984281088	984281088	2004879527	583409349	1
3	fa/13634c	20882161	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Elgaria_multicarinata_webbii)	COMPLETED	0	1786507867701	1786507877376	1786507877385	9684	50	15.6	3239936	3239936	4468736	4468736	358725	1835	1
4	5c/3234c7	20882162	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786507867934	1786507877399	1786507877435	9501	54	14.4	3239936	3239936	4468736	4468736	941861	3636	1
5	4f/aefc50	20882164	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Elgaria_multicarinata_webbii (query))	COMPLETED	0	1786507877687	1786507887376	1786507887378	9691	108	24.5	3309568	3309568	4468736	4468736	661222	5933	1
6	5b/05e779	20882165	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Elgaria_multicarinata_webbii)	COMPLETED	0	1786507877757	1786507887382	1786507887418	9661	373	7.7	3305472	3305472	4468736	4468736	793480	2433	1
7	45/41b647	20882166	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786507877788	1786507887468	1786507887484	9696	253	9.2	3305472	3305472	4468736	4468736	793313	2418	1
8	14/d4c328	20882167	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786507880234	1786507887504	1786507887512	7278	109	24.2	3309568	3309568	4468736	4468736	663001	6849	1
33	35/cef413	20882192	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Elgaria_multicarinata_webbii.2bit:CM068556_1:174930000-176344784)	COMPLETED	0	1786507901396	1786507907637	1786507917404	16008	9643	90.2	281399296	281677824	1592705024	1592893440	31289458	273861	1
85	92/96a2fc	20882244	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Elgaria_multicarinata_webbii.2bit:CM068571_1:24990000-26240891)	COMPLETED	0	1786507936130	1786507947426	1786507957436	21306	10725	90.9	273588224	274857984	1434923008	1436348416	24945312	186258	1
