epoch	event	detail
1786663024.757176825	fairshare_reset_started	
1786663024.993670984	fairshare_reset_verified	
1786663026.860232111	benchmark_user_row_primed	
1786663027.113901642	boundary_before_captured	
1786663027.128621306	periodic_series_seeded	1786663027.049622084
1786663027.211515472	t0_and_submit	1786663027.133852759
1786663027.215835347	sbatch_returned	20927329
1786670350.777495652	handoff_received	
1786670350.808979353	batch_handoff_finished	0
1786670350.857361957	drain_wait_finished	0
1786670350.868389907	pipeline_artifacts_ready	
1786670351.144345758	validation_finished	0
1786670381.304317491	boundary_after_captured	
1786670381.313674096	periodic_series_terminated	1786670381.262767481
