epoch	event	detail
1786173781.064672742	fairshare_reset_started	
1786173781.359063403	fairshare_reset_verified	
1786173781.425949595	benchmark_user_row_primed	
1786173781.637322925	boundary_before_captured	
1786173781.651394862	periodic_series_seeded	1786173781.575382537
1786173781.734249523	t0_and_submit	1786173781.656794008
1786173781.738241474	sbatch_returned	20814961
1786176128.265205181	handoff_received	
1786176128.300179490	batch_handoff_finished	0
1786176128.353519351	drain_wait_finished	0
1786176128.366876060	pipeline_artifacts_ready	
1786176128.537040620	validation_finished	0
1786176158.796306232	boundary_after_captured	
1786176158.808324348	periodic_series_terminated	1786176158.710076623
1786176159.655959219	collection_complete	
