epoch	event	detail
1786178790.629162526	fairshare_reset_started	
1786178790.873682518	fairshare_reset_verified	
1786178790.939220543	benchmark_user_row_primed	
1786178791.149977192	boundary_before_captured	
1786178791.163160433	periodic_series_seeded	1786178791.084369263
1786178791.242462490	t0_and_submit	1786178791.168816810
1786178791.246442981	sbatch_returned	20815123
1786179991.970302954	handoff_received	
1786179992.003255171	batch_handoff_finished	0
1786179992.063635980	drain_wait_finished	0
1786179992.073992890	pipeline_artifacts_ready	
1786179992.281017912	validation_finished	0
1786180022.488803091	boundary_after_captured	
1786180022.502280930	periodic_series_terminated	1786180022.432840821
1786180023.088761485	collection_complete	
