task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
2	08/5ee250	20809952	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Gallus_gallus)	COMPLETED	0	1786168980673	1786168989102	1786168998936	18263	9635	94.9	480817152	480817152	559144960	559144960	1052309418	306868730	1
3	12/4a6593	20809953	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Gallus_gallus)	COMPLETED	0	1786168999229	1786169008938	1786169008960	9731	52	15.0	3239936	3239936	4468736	4468736	2116784	6946	1
1	b7/801a24	20809951	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786168980561	1786168988934	1786169008935	28374	18853	93.8	903483392	903483392	1135140864	1135140864	2004879527	583409349	1
4	e8/9fc164	20809954	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786169009097	1786169018935	1786169018938	9841	54	29.6	3239936	3239936	4468736	4468736	941853	3636	1
5	62/413c71	20809955	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Gallus_gallus)	COMPLETED	0	1786169009362	1786169018949	1786169018960	9598	150	23.3	3305472	3305472	4468736	4468736	793201	2404	1
6	13/00a5f2	20809956	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Gallus_gallus (query))	COMPLETED	0	1786169009412	1786169018985	1786169019015	9603	106	25.2	3309568	3309568	4468736	4468736	666296	6928	1
8	42/d03e94	20809958	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786169019337	1786169028942	1786169029017	9680	123	14.3	3305472	3305472	4468736	4468736	793300	2416	1
7	f3/ac0fbe	20809957	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786169019057	1786169028935	1786169028938	9881	106	25.0	3309568	3309568	4468736	4468736	662993	6848	1
23	a1/47cc5a	20809974	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786169038339	1786169048966	1786169048969	10630	1492	78.4	271052800	271052800	1562714112	1562714112	30443458	1333	1
76	8b/d3f75e	20810025	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786169070234	1786169079029	1786169088975	18741	5288	22.8	28372992	28372992	43859968	43859968	30449562	1331	1
53	f8/05ef24	20810004	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786169056344	1786169069044	1786169118979	62635	58639	66.5	287776768	298881024	1497481216	1508741120	30264876	129347	1
