venue,replicate,backend,run_dir,primary_valid,global_context_valid,status,censored,pipeline_exit_code,validation_exit_code,t0_epoch,endpoint_latest_complete_epoch,monitor_end_epoch,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,observer_rpc_count,observer_rpc_processing_s,error,global_context_error
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,True,True,complete,False,0,0,1754300005.0,1754311549.743,1754311632.7431436,3.206873055564033,1216,973.077028,40,0.016,,
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,True,True,complete,False,0,0,1754312237.7431436,1754321045.269,1754321128.2692165,2.4465349601374733,326,260.817346,31,0.0124,,
dev,1,hyperqueue,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/hyperqueue,True,True,complete,False,0,0,1754321733.2692165,1754329230.732,1754329313.7328756,2.0826285509930718,74,59.409837,26,0.0104,,
dev,1,flux,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/flux,True,True,complete,False,0,0,1754329918.7328756,1754338267.305,1754338350.305794,2.319047812355889,93,74.954174,29,0.0116,,
dev,1,local,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/local,True,True,complete,False,0,0,1754338955.305794,1754356790.312,1754356873.3120623,4.9541683905654486,25,20.310104,61,0.0244,,
phoenix,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,True,True,complete,False,0,0,1754300005.0,1754311421.14,1754311504.1400414,3.17115000002914,1191,952.991993,40,0.016,,
phoenix,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,True,True,complete,False,0,0,1754312109.1400414,1754322047.236,1754322130.2360566,2.760582210752699,305,244.733337,35,0.014,,
phoenix,1,hyperqueue,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,True,True,complete,False,0,0,1754322735.2360566,1754330048.459,1754330131.459636,2.0314508176512187,75,60.784398,26,0.0104,,
phoenix,1,flux,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,True,True,complete,False,0,0,1754330736.459636,1754338987.001,1754339070.0012262,2.291817045542929,91,73.598845,29,0.0116,,
phoenix,1,local,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,True,True,complete,False,0,0,1754339675.0012262,1754358256.609,1754358339.6093829,5.161557714939118,24,19.629555,63,0.0252,,
