venue,replicate,backend,run_dir,hours_from_clean_start,rpc_count_since_t0,rpc_processing_s_since_t0,walltime_h,interpretation
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,-0.001388888888888889,0,0.0,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.08333333333333333,31,25.286236,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.16666666666666666,63,50.572473,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.25,94,75.85871,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.3333333333333333,126,101.144947,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.4166666666666667,157,126.431183,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.5,189,151.71742,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.5833333333333334,221,177.003657,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.6666666666666666,252,202.289894,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.75,284,227.57613,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.8333333333333334,315,252.862367,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,0.9166666666666666,347,278.148604,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.0,379,303.434841,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.0833333333333333,410,328.721077,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.1666666666666667,442,354.007314,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.25,473,379.293551,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.3333333333333333,505,404.579788,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.4166666666666667,537,429.866024,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.5,568,455.152261,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.5833333333333333,600,480.438498,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.6666666666666667,631,505.724735,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.75,663,531.010971,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.8333333333333333,695,556.297208,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,1.9166666666666667,726,581.583445,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.0,758,606.869682,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.0833333333333335,789,632.155918,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.1666666666666665,821,657.442155,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.25,853,682.728392,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.3333333333333335,884,708.014629,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.4166666666666665,916,733.300865,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.5,947,758.587102,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.5833333333333335,979,783.873339,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.6666666666666665,1011,809.159576,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.75,1042,834.445812,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.8333333333333335,1074,859.732049,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,2.9166666666666665,1105,885.018286,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.0,1137,910.304523,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.0833333333333335,1169,935.590759,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.1666666666666665,1200,960.876996,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.229095317787594,1216,973.077028,3.206873055564033,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,-0.0013888887564341228,0,0.0,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.08312690456708273,11,8.883902,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.16646023790041606,22,17.767805,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.2497935712337494,33,26.651707,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.3331269045670827,44,35.53561,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.41646023790041603,55,44.419513,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.4997935712337494,66,53.303415,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.5831269045670827,77,62.187318,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.6664602379004161,88,71.07122,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.7497935712337493,99,79.955123,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.8331269045670827,111,88.839026,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.9164602379004161,122,97.722928,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,0.9997935712337493,133,106.606831,2.4465349601374733,"benchmark-user sdiag row, attributed by UID; valid for every backend including HyperQueue, Flux, and local"
