epoch	event	detail
1786167723.965447880	fairshare_reset_started	
1786167724.203033516	fairshare_reset_verified	
1786167724.270216522	benchmark_user_row_primed	
1786167724.503389598	boundary_before_captured	
1786167724.518028614	periodic_series_seeded	1786167724.440196892
1786167724.595528881	t0_and_submit	1786167724.523368805
1786167724.599627142	sbatch_returned	20804808
1786168930.228423985	handoff_received	
1786168930.258602982	batch_handoff_finished	0
1786168930.341407576	drain_wait_finished	0
1786168930.352874185	pipeline_artifacts_ready	
1786168930.556655814	validation_finished	0
1786168960.823094024	boundary_after_captured	
1786168960.837384315	periodic_series_terminated	1786168960.728109130
1786168961.436059278	collection_complete	
