task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
1	66/f84224	ƒ5RanhnP	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Gallus_gallus)	COMPLETED	0	1786173797299	1786173801254	1786173811029	13730	9507	91.9	507580416	507580416	586108928	586108928	1052309348	306868728	1
2	0f/63971e	ƒ5JuqwEP	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786173797044	1786173801027	1786173816028	18984	17842	93.4	752365568	752365568	984281088	984281088	2004879478	583409348	1
3	0d/833b79	ƒE1bDTEf	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Gallus_gallus)	COMPLETED	0	1786173816786	1786173821027	1786173821030	4244	134	6.7	5365760	5365760	12410880	12419072	2114542	6942	1
4	af/bec341	ƒE8HeD51	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786173817044	1786173821032	1786173821034	3990	66	12.3	3317760	3317760	4468736	4468736	939616	3633	1
5	c1/ad3fee	ƒFzvTakX	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Gallus_gallus)	COMPLETED	0	1786173821293	1786173826028	1786173826031	4738	224	8.4	3383296	3383296	4468736	4468736	790979	2399	1
7	90/fc60b7	ƒGDjDNwH	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786173821793	1786173826037	1786173826038	4245	129	20.7	3383296	3383296	4468736	4468736	791081	2412	1
6	e4/f7d90f	ƒG7TzQto	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Gallus_gallus (query))	COMPLETED	0	1786173821548	1786173826033	1786173826035	4487	122	28.6	3387392	3387392	4468736	4468736	664082	6923	1
8	68/b6024e	ƒGLKiBeF	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786173822054	1786173826040	1786173826041	3987	122	21.6	3387392	3387392	4468736	4468736	660784	6843	1
23	1c/9353d2	ƒJQ8Q9UT	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786173826743	1786173831030	1786173831032	4289	1173	87.6	14647296	14647296	22319104	22319104	30441293	1329	1
76	95/2584e8	ƒRs7EQ1V	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786173843679	1786173846090	1786173846093	2414	1607	78.3	270872576	270872576	1562865664	1562865664	30449480	1329	1
129	c5/e56461	ƒXxyayMH	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:50000000-75000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786173857524	1786173861112	1786173861114	3590	1682	78.4	270872576	270872576	1562865664	1562865664	30449497	1329	1
53	1e/f4dd7b	ƒPFCTzEB	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786173837734	1786173841065	1786173876053	38319	35553	94.4	287780864	298885120	1497485312	1508745216	30264802	129346	1
182	1b/3faabb	ƒe4MmnLX	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:75000000-100000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786173871356	1786173876134	1786173876137	4781	1694	78.4	270868480	270868480	1562865664	1562865664	30449506	1329	1
235	d4/e9f126	ƒha5f6Lo	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:100000000-125000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786173879326	1786173881189	1786173886154	6828	1696	77.7	269250560	269250560	1562869760	1562869760	30449502	1329	1
41	b0/d67f89	ƒNEyECGf	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028530_1:24990000-29567511)	COMPLETED	0	1786173835457	1786173836084	1786173896052	60595	57046	95.8	276881408	281489408	1438359552	1443123200	26081939	279966	1
106	75/24ab51	ƒVGQzpHD	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:25000000-50000000 vs Gallus_gallus.2bit:CM035082_1:74970000-86044486)	COMPLETED	0	1786173851400	1786173856091	1786173896087	44687	39405	94.3	288579584	299692032	1497608192	1508876288	30239385	92818	1
