task_id	hash	native_id	process	name	status	exit	submit	start	complete	duration	realtime	%cpu	rss	peak_rss	vmem	peak_vmem	rchar	wchar	attempt
2	ad/9cbba9	2	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT	PREPARE_QUERY_GENOME:FA_TO_TWO_BIT (Gallus_gallus)	COMPLETED	0	1786178811400	1786178814885	1786178829857	18457	8647	99.2	507580416	507580416	586108928	586108928	1052309413	306868729	1
3	ca/552e2b	3	PREPARE_QUERY_GENOME:TWO_BIT_INFO	PREPARE_QUERY_GENOME:TWO_BIT_INFO (Gallus_gallus)	COMPLETED	0	1786178830123	1786178834855	1786178834875	4752	36	39.2	3317760	3317760	4468736	4468736	2114623	6944	1
1	95/f60796	1	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT	PREPARE_TARGET_GENOME:FA_TO_TWO_BIT (Myuchelys_georgesi)	COMPLETED	0	1786178811189	1786178814863	1786178839857	28668	16433	99.3	875909120	875909120	1107664896	1107664896	2004879519	583409349	1
5	b8/b32748	4	PREPARE_QUERY_GENOME:EXTRACT_CHROMS	PREPARE_QUERY_GENOME:EXTRACT_CHROMS (Gallus_gallus)	COMPLETED	0	1786178834977	1786178839862	1786178839882	4905	86	39.9	12656640	12656640	22994944	22994944	791048	2407	1
4	53/e6de98	5	LASTZ_ALIGNMENT:PARTITION_QUERY	LASTZ_ALIGNMENT:PARTITION_QUERY (Gallus_gallus (query))	COMPLETED	0	1786178835011	1786178839936	1786178839943	4932	103	42.3	9822208	9822208	18219008	18219008	664138	6930	1
6	f8/47c645	6	PREPARE_TARGET_GENOME:TWO_BIT_INFO	PREPARE_TARGET_GENOME:TWO_BIT_INFO (Myuchelys_georgesi)	COMPLETED	0	1786178840029	1786178844856	1786178844859	4830	36	56.0	3317760	3317760	4468736	4468736	939691	3634	1
8	60/9de95c	7	PREPARE_TARGET_GENOME:EXTRACT_CHROMS	PREPARE_TARGET_GENOME:EXTRACT_CHROMS (Myuchelys_georgesi)	COMPLETED	0	1786178845083	1786178849856	1786178849859	4776	89	47.8	12656640	12656640	22994944	22994944	791147	2419	1
7	21/7242d7	8	LASTZ_ALIGNMENT:PARTITION_TARGET	LASTZ_ALIGNMENT:PARTITION_TARGET (Myuchelys_georgesi (target))	COMPLETED	0	1786178845106	1786178849863	1786178849868	4762	115	46.0	9822208	9822208	18219008	18219008	660835	6850	1
23	13/b460ce	24	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:0-25000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786178852475	1786178855076	1786178855089	2614	2055	83.1	233103360	233103360	1405517824	1405517824	30441340	1330	1
235	ba/037a72	235	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:100000000-125000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786178869775	1786178875873	1786178880486	10711	1938	73.7	269791232	269791232	1562865664	1562865664	30449544	1329	1
288	48/85eb1e	288	LASTZ_ALIGNMENT:LASTZ	LASTZ_ALIGNMENT:LASTZ (Myuchelys_georgesi.2bit:CM105055_1:125000000-150000000 vs Gallus_gallus.2bit:CM028524_1:149940000-149940142)	COMPLETED	0	1786178872594	1786178876197	1786178885470	12876	1989	75.1	269791232	269791232	1562865664	1562865664	30449516	1329	1
