venue,replicate,backend,run_dir,walltime_h,benchmark_rpc_count,benchmark_rpc_processing_s,benchmark_rpc_count_per_1000_endpoint_tasks,benchmark_rpc_processing_s_per_1000_endpoint_tasks,observer_rpc_count,observer_rpc_processing_s,median_walltime_h,min_walltime_h,max_walltime_h,median_rpc_processing_s_per_1000_endpoint_tasks,min_rpc_processing_s_per_1000_endpoint_tasks,max_rpc_processing_s_per_1000_endpoint_tasks,nondominated_median
dev,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/native,3.206873055564033,1216,973.077028,30400.0,24326.9257,40,0.016,3.206873055564033,3.206873055564033,3.206873055564033,24326.9257,24326.9257,24326.9257,False
dev,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/jobarray,2.4465349601374733,326,260.817346,8150.0,6520.43365,31,0.0124,2.4465349601374733,2.4465349601374733,2.4465349601374733,6520.43365,6520.43365,6520.43365,False
dev,1,hyperqueue,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/hyperqueue,2.0826285509930718,74,59.409837,1850.0,1485.245925,26,0.0104,2.0826285509930718,2.0826285509930718,2.0826285509930718,1485.245925,1485.245925,1485.245925,True
dev,1,flux,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/flux,2.319047812355889,93,74.954174,2325.0,1873.85435,29,0.0116,2.319047812355889,2.319047812355889,2.319047812355889,1873.85435,1873.85435,1873.85435,False
dev,1,local,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/dev/rep1/local,4.9541683905654486,25,20.310104,625.0,507.7526,61,0.0244,4.9541683905654486,4.9541683905654486,4.9541683905654486,507.7526,507.7526,507.7526,True
phoenix,1,native,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/native,3.17115000002914,1191,952.991993,29775.0,23824.799825000002,40,0.016,3.17115000002914,3.17115000002914,3.17115000002914,23824.799825000002,23824.799825000002,23824.799825000002,False
phoenix,1,jobarray,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/jobarray,2.760582210752699,305,244.733337,7625.0,6118.333425,35,0.014,2.760582210752699,2.760582210752699,2.760582210752699,6118.333425,6118.333425,6118.333425,False
phoenix,1,hyperqueue,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/hyperqueue,2.0314508176512187,75,60.784398,1875.0,1519.60995,26,0.0104,2.0314508176512187,2.0314508176512187,2.0314508176512187,1519.60995,1519.60995,1519.60995,True
phoenix,1,flux,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/flux,2.291817045542929,91,73.598845,2275.0,1839.971125,29,0.0116,2.291817045542929,2.291817045542929,2.291817045542929,1839.971125,1839.971125,1839.971125,False
phoenix,1,local,bench-WORKS26/dryrun-plots/synthetic-monitor-tree/phoenix/rep1/local,5.161557714939118,24,19.629555,600.0,490.738875,63,0.0252,5.161557714939118,5.161557714939118,5.161557714939118,490.738875,490.738875,490.738875,True
