venue,replicate,backend,baseline_backend,walltime_h_ratio_to_native,first_task_start_delay_h_ratio_to_native,first_task_to_endpoint_s_ratio_to_native,allocation_wait_s_ratio_to_native,main_job_runtime_s_ratio_to_native,benchmark_rpc_count_ratio_to_native,benchmark_rpc_processing_s_ratio_to_native,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native,observer_rpc_count_ratio_to_native,observer_rpc_processing_s_ratio_to_native,rpc_boundary_lag_s_ratio_to_native,walltime_h_ratio_to_native_median,walltime_h_ratio_to_native_min,walltime_h_ratio_to_native_max,first_task_start_delay_h_ratio_to_native_median,first_task_start_delay_h_ratio_to_native_min,first_task_start_delay_h_ratio_to_native_max,first_task_to_endpoint_s_ratio_to_native_median,first_task_to_endpoint_s_ratio_to_native_min,first_task_to_endpoint_s_ratio_to_native_max,allocation_wait_s_ratio_to_native_median,allocation_wait_s_ratio_to_native_min,allocation_wait_s_ratio_to_native_max,main_job_runtime_s_ratio_to_native_median,main_job_runtime_s_ratio_to_native_min,main_job_runtime_s_ratio_to_native_max,benchmark_rpc_count_ratio_to_native_median,benchmark_rpc_count_ratio_to_native_min,benchmark_rpc_count_ratio_to_native_max,benchmark_rpc_processing_s_ratio_to_native_median,benchmark_rpc_processing_s_ratio_to_native_min,benchmark_rpc_processing_s_ratio_to_native_max,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_median,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_min,benchmark_rpc_count_per_1000_endpoint_tasks_ratio_to_native_max,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_median,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_min,benchmark_rpc_processing_s_per_1000_endpoint_tasks_ratio_to_native_max,observer_rpc_count_ratio_to_native_median,observer_rpc_count_ratio_to_native_min,observer_rpc_count_ratio_to_native_max,observer_rpc_processing_s_ratio_to_native_median,observer_rpc_processing_s_ratio_to_native_min,observer_rpc_processing_s_ratio_to_native_max,rpc_boundary_lag_s_ratio_to_native_median,rpc_boundary_lag_s_ratio_to_native_min,rpc_boundary_lag_s_ratio_to_native_max
dev,1,native,native,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dev,1,jobarray,native,0.7629035879336267,0.9130061842589315,0.7578700507757945,1.0,0.758830042587085,0.2680921052631579,0.26803360730451853,0.2680921052631579,0.26803360730451853,0.775,0.7749999999999999,1.0000009119494289,0.7629035879336267,0.7629035879336267,0.7629035879336267,0.9130061842589315,0.9130061842589315,0.9130061842589315,0.7578700507757945,0.7578700507757945,0.7578700507757945,1.0,1.0,1.0,0.758830042587085,0.758830042587085,0.758830042587085,0.2680921052631579,0.2680921052631579,0.2680921052631579,0.26803360730451853,0.26803360730451853,0.26803360730451853,0.2680921052631579,0.2680921052631579,0.2680921052631579,0.26803360730451853,0.26803360730451853,0.26803360730451853,0.775,0.775,0.775,0.7749999999999999,0.7749999999999999,0.7749999999999999,1.0000009119494289,1.0000009119494289,1.0000009119494289
dev,1,hyperqueue,native,0.6494265644159631,0.871370023985044,0.641983917333046,1.0,0.6434034291950089,0.06085526315789474,0.06105358084766132,0.06085526315789474,0.06105358084766132,0.65,0.6499999999999999,1.0000091492965584,0.6494265644159631,0.6494265644159631,0.6494265644159631,0.871370023985044,0.871370023985044,0.871370023985044,0.641983917333046,0.641983917333046,0.641983917333046,1.0,1.0,1.0,0.6434034291950089,0.6434034291950089,0.6434034291950089,0.06085526315789474,0.06085526315789474,0.06085526315789474,0.06105358084766132,0.06105358084766132,0.06105358084766132,0.06085526315789474,0.06085526315789474,0.06085526315789474,0.06105358084766132,0.06105358084766132,0.06105358084766132,0.65,0.65,0.65,0.6499999999999999,0.6499999999999999,0.6499999999999999,1.0000091492965584,1.0000091492965584,1.0000091492965584
dev,1,flux,native,0.7231492398279573,0.8984198956015593,0.7172717175191355,1.0,0.7183927261862834,0.07648026315789473,0.0770279965955583,0.07648026315789473,0.07702799659555831,0.725,0.725,1.0000081300589612,0.7231492398279573,0.7231492398279573,0.7231492398279573,0.8984198956015593,0.8984198956015593,0.8984198956015593,0.7172717175191355,0.7172717175191355,0.7172717175191355,1.0,1.0,1.0,0.7183927261862834,0.7183927261862834,0.7183927261862834,0.07648026315789473,0.07648026315789473,0.07648026315789473,0.0770279965955583,0.0770279965955583,0.0770279965955583,0.07648026315789473,0.07648026315789473,0.07648026315789473,0.07702799659555831,0.07702799659555831,0.07702799659555831,0.725,0.725,0.725,0.725,0.725,0.725,1.0000081300589612,1.0000081300589612,1.0000081300589612
dev,1,local,native,1.5448595266251028,1.199915121127255,1.5564268847186087,1.0,1.5542207471253984,0.02055921052631579,0.020872041385813084,0.02055921052631579,0.020872041385813087,1.525,1.5250000000000001,0.9999989837426299,1.5448595266251028,1.5448595266251028,1.5448595266251028,1.199915121127255,1.199915121127255,1.199915121127255,1.5564268847186087,1.5564268847186087,1.5564268847186087,1.0,1.0,1.0,1.5542207471253984,1.5542207471253984,1.5542207471253984,0.02055921052631579,0.02055921052631579,0.02055921052631579,0.020872041385813084,0.020872041385813084,0.020872041385813084,0.02055921052631579,0.02055921052631579,0.02055921052631579,0.020872041385813087,0.020872041385813087,0.020872041385813087,1.525,1.525,1.525,1.5250000000000001,1.5250000000000001,1.5250000000000001,0.9999989837426299,0.9999989837426299,0.9999989837426299
phoenix,1,native,native,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phoenix,1,jobarray,native,0.8705303157300449,0.952831822522526,0.8677500710676359,1.0,0.8682804046033096,0.25608732157850544,0.256805239495858,0.25608732157850544,0.25680523949585793,0.875,0.875,1.0000001907347649,0.8705303157300449,0.8705303157300449,0.8705303157300449,0.952831822522526,0.952831822522526,0.952831822522526,0.8677500710676359,0.8677500710676359,0.8677500710676359,1.0,1.0,1.0,0.8682804046033096,0.8682804046033096,0.8682804046033096,0.25608732157850544,0.25608732157850544,0.25608732157850544,0.256805239495858,0.256805239495858,0.256805239495858,0.25608732157850544,0.25608732157850544,0.25608732157850544,0.25680523949585793,0.25680523949585793,0.25680523949585793,0.875,0.875,0.875,0.875,0.875,0.875,1.0000001907347649,1.0000001907347649,1.0000001907347649
phoenix,1,hyperqueue,native,0.6406038243642058,0.8690679867710509,0.6328860280219719,1.0,0.6343583230558736,0.06297229219143577,0.06378269539143967,0.06297229219143577,0.06378269539143966,0.65,0.6499999999999999,1.0000074326953714,0.6406038243642058,0.6406038243642058,0.6406038243642058,0.8690679867710509,0.8690679867710509,0.8690679867710509,0.6328860280219719,0.6328860280219719,0.6328860280219719,1.0,1.0,1.0,0.6343583230558736,0.6343583230558736,0.6343583230558736,0.06297229219143577,0.06297229219143577,0.06297229219143577,0.06378269539143967,0.06378269539143967,0.06378269539143967,0.06297229219143577,0.06297229219143577,0.06297229219143577,0.06378269539143966,0.06378269539143966,0.06378269539143966,0.65,0.65,0.65,0.6499999999999999,0.6499999999999999,0.6499999999999999,1.0000074326953714,1.0000074326953714,1.0000074326953714
phoenix,1,flux,native,0.7227084955053747,0.8989793940178268,0.7167538508843112,1.0,0.7178897652580831,0.0764063811922754,0.07722923753882999,0.0764063811922754,0.07722923753882997,0.725,0.725,1.000002312659025,0.7227084955053747,0.7227084955053747,0.7227084955053747,0.8989793940178268,0.8989793940178268,0.8989793940178268,0.7167538508843112,0.7167538508843112,0.7167538508843112,1.0,1.0,1.0,0.7178897652580831,0.7178897652580831,0.7178897652580831,0.0764063811922754,0.0764063811922754,0.0764063811922754,0.07722923753882999,0.07722923753882999,0.07722923753882999,0.0764063811922754,0.0764063811922754,0.0764063811922754,0.07722923753882997,0.07722923753882997,0.07722923753882997,0.725,0.725,0.725,0.725,0.725,0.725,1.000002312659025,1.000002312659025,1.000002312659025
phoenix,1,local,native,1.6276611686270557,1.2286637243589869,1.64113978594494,1.0,1.6385686382064646,0.020151133501259445,0.020597817341787467,0.020151133501259445,0.020597817341787464,1.575,1.575,1.0000042706705963,1.6276611686270557,1.6276611686270557,1.6276611686270557,1.2286637243589869,1.2286637243589869,1.2286637243589869,1.64113978594494,1.64113978594494,1.64113978594494,1.0,1.0,1.0,1.6385686382064646,1.6385686382064646,1.6385686382064646,0.020151133501259445,0.020151133501259445,0.020151133501259445,0.020597817341787467,0.020597817341787467,0.020597817341787467,0.020151133501259445,0.020151133501259445,0.020151133501259445,0.020597817341787464,0.020597817341787464,0.020597817341787464,1.575,1.575,1.575,1.575,1.575,1.575,1.0000042706705963,1.0000042706705963,1.0000042706705963
